evresine geçilmiş,evre geçil
başları pistonlar,baş piston
pistonlar karbüratörler,piston karbüratör
pompalar valfler,pompa valfler
rulmanlar bilyalı,rulman bilyal
ayrıma gidilmeksizin,ayr gidilmeksiz
ruhan erdemönok,ruha erdemönok
tedavilerin nüks,tedav nüks
öldürmeyi yasaklayan,öldürme yasaklaya
sağlayacağı inancıyla,sağlayacak inancı
engellenmediğinin belirlenmesidir,engellenmedik belirlenmes
belirlenmesidir bildirimdeki,belirlenmes bildir
ruhça arızaya,ruhça arıza
mesafesini koruyamayarak,mesafe koruyamayarak
zorluklar yaşamıştır,zorluk yaşamış
irdeleyerek açıklayacak,irdeleyerek açıklayacak
açmaktan yasaklanma,açmak yasaklanma
anayasamızı irdeleyerek,anayasa irdeleyerek
eskiyen sonuncusu,eskiye sonuncus
yorumla genişletilemeyeceği,yor genişletilemeyecek
camilerin ibadete,cami ibade
özlerine dokunulmaksızın,öz dokunulmaksız
görevlerin amaçlarına,görev amaç
parlamentolarının etkinliğini,parlamento etkinlik
düzeyine yansımamıştır,düzey yansımamış
gelecekteki hedeflerplanlamalar,gelecek hedeflerplanlama
ibadet ayin,ibadet ay
tanımıyla dünyada,tanım dünya
korunmak çareleri,korunmak çare
tutulmadan seyrüseferlerine,tutulma seyrüsefer
icrayı sanata,icra sana
standart karakterle,standart karakter
eleştirmek uyarmak,eleştirmek uyarmak
hatırlatmaktadır salduz,hatırlatmak salduz
sınırlayacağı apaçık,sınırlayacak apaçık
kulubeler yuvalar,kulube yuva
kafesler akvaryumlar,kafes akvaryum
hilfiger licensing,hilfiger licensingi
nargile tütünü,nargil tüt
ambalajlatarak bayilere,ambalajlatarak bayi
türkcell avea,türkcell avea
abbas hilmi,abbas hilmi
doğrulanmadığı anlaşılmayan,doğrulanmadık anlaşılmaya
mütemmim cüz,mütemm cüz
eklem kısımlarından,ekle kısım
kısımlarından koptuğu,kısım koptuk
yapılırsa yapılsın,yapılır yapıl
görünüp görünmediği,görünüp görünmedik
akla mantığa,ak mantık
cezalar yarısına,ceza yarı
harcından evvelce,harç evvel
oy birliğiyle,oy birlik
zabıt kâtibinin,zabıt kâtip
tipine uyduğu,tip uyduk
cezalarını artırmayan,ceza artırmaya
biber münavebesi,biber münavebes
üçte birine,üç bir
aşamadan başlayarak,aşama başlayarak
maske takma,maske takma
öncesi aşamadan,önces aşama
şüpheden uzak,şüphe uzak
hayvanlarının etleri,hayvan et
bitkisel yağlar,bitkisel yağ
erdirip ferdi,erdirip fer
bekletici mesele,bekletiç mesel
kenevir ekme,kenevir ekme
uygulamasının olanaklı,uygulama olanaklı
iddianamenin kabulünden,iddianame kabul
any mah,any mah
kişiyi hürriyetinden,kişi hürriyet
ulaşılan çözümü,ulaşıla çöz
düzeltir görmezse,düzel görmez
vesaik mukabili,vesaik mukabil
kılınması satacağı,kılınmas satacak
chefs cakeşekil,chefs cakeşekil
boylardaki kenevirlerden,boy kenevir
perihan şahintürkiye,periha şahintürki
beklemediği umulmadık,beklemedik umulmadık
gazetede yayımlanarak,gazete yayımlanarak
tutulmasında tekel,tutulma tekel
tetkik hakimi,tetkik hak
bal arı,bal ar
arı sütü,ar süt
gediz edaşa,gedi edaş
özeni göstermesine,öze gösterme
oturuma getirtilmeyerek,otur getirtilmeyerek
sıkı sıkıya,sık sıkı
izahtan varestedir,izah vares
netlik prensibinin,netlik prensip
bera holding,bera holdingi
zeminle uyumsuz,zem uyumsuz
vazife görmekten,vazif görmek
teşviki sermayenin,teşvik sermaye
ülkedeki pozitif,ülke pozitif
alabilecek surette,alabilecek suret
suça sürüklenen,suç sürüklene
pişmanlık uygulamasının,pişmanlık uygulama
niyetiyle oturduğu,niyet oturduk
norm denetimi,norm denet
getirildiğinden bahsedilmesi,getirildik bahsedilmes
başsavcılığına tevdiine,başsavcılık tevdiin
sıfatını alabilecek,sıfat alabilecek
önellerine uymadan,önel uyma
semt polikliniğince,semt poliklinik
selahiyetli mümessillerine,selahiyetli mümessil
usûlsüz iktibaslar,usûlsüz iktibas
davetiyelerin muhatabına,davetiye muhatap
tilt langırt,tilt langırt
atfında bulunulmadığından,atf bulunulmadık
boğazından hırlama,boğaz hırla
sorulan soruların,sorula sor
buğdaysaman karpuz,buğdaysama karpuz
sözleşmelerdeki pozisyonunun,sözleşme pozisyon
ikmaliyle yenilenme,ikmal yenilenme
dizi pusulasına,diz pusula
güveninize teşekkür,güven teşekkür
ısı radyoaktif,ıs radyoaktif
çevreden gelenlerce,çevre gelen
nöroloji branşında,nöroloji branş
kastlarını yansıtmayan,kast yansıtmaya
karz akdiödünç,karz akdiödünç
grubundan faturalandırılacağına,grup faturalandırılacak
dna profilinin,dna profil
ilgilisinden istenilmeden,ilgili istenilme
ilişkilendirilebilecek hususiyetin,ilişkilendirilebilecek hususiyet
sürecinden geçilerek,süreç geçilerek
saldıranın olduğudur,saldıra olduk
yazanları ezberledin,yazan ezberledi
göstermeyen tavırları,göstermeye tavır
senetsiz kanıtlanamayacağı,senetsiz kanıtlanamayacak
suudi arabistan,suudi arabis
seçeneği imzalamışsa,seçenek imzalamış
bacağını okşayıp,bacak okşayıp
çalışmaktan alıkoyan,çalışmak alıkoya
özgenç izzet,özgenç izzet
uhdelerinde tutmaları,uhde tutma
end tes,end tes
geçirilmelerini hedefleyen,geçirilme hedefleye
ilt hz,ilt hz
hz pz,hz pz
pz sa,pz sa
ertelenip ertelenmeyeceğine,ertelenip ertelenmeyecek
başlatılacağı belirtilmiştiraynı,başlatılacak belirtilmiştiraynı
hırlama sesleri,hırla ses
tırnakların bakımsız,tırnak bakımsız
neticesinin gerçekleşeceğini,netice gerçekleşecek
merakından topladığını,merak topladık
kr sayıyla,kr say
kırdar onkoloji,kırdar onkoloji
ahde vefa,ahde vefa
kazanımı korunur,kazan korunur
hususundadır yurttan,husu yurt
sucuk çalarken,sucuk ça
teş bşk,teş bşk
çözmekle yükümlüdürler,çözmek yükümlü
gelinmesine sinirlenmesi,gelinme sinirlenmes
tüfeklerden ilkinin,tüfek ilki
ebatlı delinmeden,ebatlı delinme
böylesi gergin,böyles gergi
çene dokularının,çe doku
buyruğunda bulundurmasını,buyruk bulundurma
kalitesinin gelişmişlik,kalite gelişmişlik
polat topdaş,polat topdaş
meramını anlatma,meram anlatma
fotoğraflarına aktarılmalı,fotoğraf aktarılmal
şahintepe kavuşak,şahintep kavuşak
turan hazinedaroğlu,tura hazinedaroğlu
ürüne katılmalı,ür katılmal
fiyatta anlaşmak,fiyat anlaşmak
komple yıkıldığını,komple yıkıldık
kurulacağından hmkdaki,kurulacak hmkdaki
schoco bisco,schoco bisco
fred perry,fred perry
dönülemeyeceğinin parselasyon,dönülemeyecek parselasyo
parselasyon planlarını,parselasyo plan
kütüğe geçirilir,kütük geçirilir
eksiklerini tamamlamak,eksik tamamlamak
değerlerini aklama,değer akla
dairelerle mütedavil,daire mütedavil
bali içerken,bali içer
içerken rastladıkları,içer rastladık
demirciler caddesinde,demirci cadde
derin dondurucuyu,der dondurucu
düşünmeye çağıracak,düşünme çağıracak
ayrılığı istismarın,ayrılık istismar
yurttan kaçıp,yurt kaçıp
tasfiyeden bahsetmekte,tasfiye bahsetmek
yitirip yitirmediği,yitirip yitirmedik
jant kapaklarının,jant kapak
asetik asit,asetik asit
company lp,company lp
duyabileceği görebileceği,duyabilecek görebilecek
masaj salonuna,masaj salon
hapsen tazyik,hap tazyik
hidroelektrik santrali,hidroelektrik santrali
iftar yemeğinden,iftar yemek
imtiyazları ruhsatları,imtiyaz ruhsat
öperek bacaklarına,öperek bacak
iktidar partisinin,iktidar parti
ölmek istiyorsun,ölmek istiyor
şebekesi tesisinde,şebekes tesi
antiğron besleme,antiğro besle
simav şifa,simav şifa
koltuklarının sökülmüş,koltuk sökül
fotoğraflarıyla denetlenmediği,fotoğraf denetlenmedik
vekilininin yanıltıldığının,vekilin yanıltıldık
mütedavil sermayeli,mütedavil sermayel
haberleşmelerin kimlerle,haberleşme k
tabanına kaydedileceği,taban kaydedilecek
ortağa sahiptim,ortak sahip
parts since,parts si
parmağının eklem,parmak ekle
aydınlatmak keyfiliği,aydınlatmak keyfilik
zorunluluklara uymayanlara,zorunluluk uymayan
kütüğününün oluşumu,kütüğün oluş
avansın harcanmayan,ava harcanmaya
reşit olmayanla,reşit olmaya
oturduğu yerdir,oturduk yer
mükerrirlere özgü,mükerrir özgü
mensuplarının kullanmaları,mensup kullanma
irad kaydedilmesine,iradı kaydedilme
gerekip gerekmediğinin,gerekip gerekmedik
oluşmadığının saptanması,oluşmadık saptanmas
adaletin selameti,adalet selamet
arasından seçilecek,ara seçilecek
tanıyıp tanımadıklarının,tanıyıp tanımadık
demesine kızarak,deme kızarak
uygulanmadığının denetlenmesinin,uygulanmadık denetlenme
bakıp gözetme,bakıp gözetme
şerhini kaleme,şerh kale
fişeği kartuşunun,fişek kartuş
eğimi klizimetre,ek klizimetre
düzenlenmesinde yalan,düzenlenme yala
silahlı terör,silahlı terör
bilgilerle uyumlu,bilgi uyumlu
güvenin sarsılmasını,güve sarsılma
adil yargılanma,adil yargılanma
öte yandan,ö ya
tablo dökümlü,tablo dökümlü
nişastalar toz,nişasta toz
bölüşümündeki ağırlık,bölüşüm ağırlık
nejdet şahin,nejdet şah
dosyalarda seri,dosya ser
kazanıp kazanmadığı,kazanıp kazanmadık
eli ürünü,el ür
yönlendirme yeteneğinin,yönlendirme yetenek
gidilip gidilmeyeceği,gidilip gidilmeyecek
vaktin darlığından,vakt darlık
üstünlük tanındığının,üstünlük tanındık
müteallik ahkamı,müteallik ahka
davranmamakta ısrar,davranmamak ısrar
faaliyete geçmesinden,faaliye geçme
çelişmeyen verilere,çelişmeye veri
verilecek cezalar,verilecek ceza
süreçlerinin akıbeti,süreç akıbet
insan hakları,in hak
geçildi vicdani,geçil vicda
suni reçineler,suni reçine
giysileri ayakkabılar,giysi ayakkabı
ayakkabılar terlikler,ayakkabı terlik
panera breadşekil,paner breadşekil
elit serisi,elit seris
hint keneviri,hint kenevir
vekaleti salahiyettardır,vekalet salahiyettar
valfler marşlar,valfler marş
marşlar dinamolar,marş dinamo
poğaça pide,poğaç pi
pide sandviç,pi sandviç
sandviç katmer,sandviç katmer
çerezler patlamış,çerez patlamış
buğday arpa,buğday arpa
sürecin yönetilebileceği,süreç yönetilebilecek
oku çık,ok çık
sinkaflı küfürler,sinkaflı küfür
sanatlarla ilgileri,sanat ilgi
kurumlarına atanmalarının,kurum atanma
zorunluluğunu duymuştur,zorunluluk du
mesleğinde çalışanlarla,meslek çalışa
inşsanticltdştinin hissedarları,inşsanticltdşti hissedar
sanal puan,sanal puan
pandemisinin sokulmasına,pandemi sokulma
dolardır almanyada,do almanya
vakalarının görülmesinden,vaka görülme
mahzurların izalesine,mahzur izale
kuduzdan ölenlerin,kuduz öle
bilcümle mevaddın,bilç mevadı
kemt varakasının,kemt varaka
trol ağlarını,trol ak
vodafone türkcell,vodafone türkcell
lüksemburg portekiz,lüksemburgu portek
türkiye cumhuriyeti,türki cumhuriyet
kullanacağını bilemeyeceği,kullanacak bilemeyecek
kalınması temeline,kalınmas temel
başarısızlıkla sonuçlanması,başarısızlık sonuçlanmas
umumi hıfzıssıhha,umumi hıfzıssıhha
istemine ilişkindir,istem ilişk
sonuçlarını algılama,sonuç algıla
haksızlığın önlenmesinin,haksızlık önlenme
üretilen haritaların,üretile harita
hafta tatili,haf tatil
gönderir düzenlemesini,gönderir düzenleme
mukayeseli hukuktan,mukayesel hukuk
zeminin jeolojik,zem jeolojik
yürütülmüş özelleştirmenin,yürütül özelleştirme
özelleştirmenin tamamlanmasıyla,özelleştirme tamamlanma
ülkesinden ayrılmaya,ülke ayrılma
fuarların organizasyonu,fuar organizasyo
gelenlerin yüzlerine,gele yüz
çeşnilezzet vericiler,çeşnilezzet verici
toraksa nafiz,torak nafiz
vurma halkası,vurma halkas
şoförlük yapanların,şoförlük yapa
gerekenler gösterilirken,gereken gösterilir
yuvalar yataklar,yuva yatak
saman balyası,sama balyas
makinasını temizlediği,makina temizledik
yüzük parmağının,yüzük parmak
gelişip gelişmediği,gelişip gelişmedik
tabiri caiz,tabir caiz
ödenmeden mülkten,ödenme mülk
ülkeye sokulan,ülke sokula
ltd şti,ltd şti
gereğine değinilmiştir,gerek değinil
böyle olunca,bö ol
kanıtlama yeterliliği,kanıtla yeterlilik
çektirilip onaylanarak,çektirilip onaylanarak
nuh bebe,nuh bep
kısıtlamaların düzeyine,kısıtlama düzey
salduz poitrimolfransa,salduz poitrimolfra
mütecaviz materyalin,mütecav materyal
değerlendirilmesinde zorunluluk,değerlendirilme zorunluluk
hiçbirisine uymayan,hiçbiri uymaya
veli özer,vel özer
sera refüj,sera refüj
gereklilikleri karşılaması,gereklilik karşılamas
algılanabilme olasılığının,algılanabilme olasılık
kasa mevcuduyla,kas mevcudu
açıklanmasının geri,açıklanma ger
fesada uğratılan,fesa uğratıla
kanının oluştuğu,kan oluştuk
yanlışlık görülmemesine,yanlışlık görülmeme
tartışılan hukuken,tartışıla hukuke
hâli öğrenir,hâli öğrenir
sokağa çıkma,sokak çıkma
üstlenmektedir dayanaksız,üstlenmek dayanaksız
verilirse verilsin,verilir veril
gerçekleştirilmesini önerdiğim,gerçekleştirilme önerdik
rum kesimi,rum kes
değiştirilmeksizin tartışıldığı,değiştirilmeksiz tartışıldık
fuzuli işgalin,fuzuli işgal
rapor dinlendikten,rapor dinlendik
olaylarla karşılaştırıldığında,olay karşılaştırıldık
ilkelere uyulmadan,ilke uyulma
kabartma tozları,kabartma toz
ilave tediye,ilav tedi
edene yükletilmesine,ede yükletilme
cezaevine girmeden,cezaev girme
sürüklenen çocuk,sürüklene çocuk
kadastrosunu denetlemesi,kadastro denetlemes
kalemle taralı,kale taral
hasarsızlık indiriminden,hasarsızlık indirim
devredilip devredilmediği,devredilip devredilmedik
etkileme derecelerinin,etkile derece
kanısına varıldığından,kanı varıldık
ihaleye fesat,ihale fesat
eposta iletişimi,epos iletiş
olası kastla,olas kastla
ağırlıklı bölümünü,ağırlıklı bölüm
dokunulmazlığının ihlali,dokunulmazlık ihlal
delillerin takdirinde,delil takdir
saygınlığını rencide,saygınlık renci
olursa olsun,olur ol
eğitimini başarıyla,eğitim başar
gerektiğinin gözetilmemesi,gerektik gözetilmemes
elatmanın önlenmesi,elatma önlenmes
soru sorabilir,sor sorabilir
işin esasına,iş esa
bittiği bildirildi,bittik bildiril
geçmeyen davalara,geçmeye dava
platform genişliği,platform genişlik
örgütle bağlantısını,örgüt bağlantı
zamanaşımını kesen,zamanaşım kese
metrekare yüzölçümündeki,metrekar yüzölçüm
işleyip işlemediğinin,işleyip işlemedik
bitki örtüsü,bitki örtüs
haftaya yedişer,hafta yedişer
sakinleri civar,sakin civar
yapılanlara devredilir,yapılan devredilir
alanlarını deneyimlerini,alan deneyim
motorini iraktan,motor irak
geçmişinin şaibeli,geçmiş şaibel
anki psiklojik,anki psiklojik
taşra teşkilatlarına,taşra teşkilat
taşra teşkilatına,taşra teşkilat
gözetilecek olgulardandır,gözetilecek olgu
silis tozlarına,silis toz
nrs konsültasyonunda,nrs konsültasyon
kaçıracağım çıkmazsan,kaçıracak çıkmaz
yaptıracağına inandırarak,yaptıracak inandırarak
kalemini kafesin,kalem kafe
solundan sağına,sol sak
getirmeyip alıkoyması,getirmeyip alıkoymas
mesut aytekinin,mesut aytek
bozdurmak istiyor,bozdurmak istiyor
taksiye binmek,taksi binmek
binmek üzerelerken,binmek üzere
finansbanktan verilennolu,finansbank verilennol
kuruluşlarca başkanlığın,kuruluş başkanlık
bankalarının birisinde,banka biri
desteğini kaybettiklerini,destek kaybettik
çoğaltıp yayımını,çoğaltıp yayım
yereni getirilmediğini,yere getirilmedik
kanısını uyandırdıklarını,kanı uyandırdık
kanısını taşıdığımızdan,kanı taşıdık
lcw mağazasından,lcw mağaza
basamak bölmesinde,basamak bölme
montajı aksatmayacak,montaj aksatmayacak
görmezden gelinerek,görmez gelinerek
haram ibne,hara ibne
üflediği muska,üfledik muska
kooperatiflerin kooperatiflere,kooperatif kooperatif
tar iht,tar iht
vazgeçiyorumkararın kesinleştirilerek,vazgeçiyorumkarar kesinleştirilerek
sayfaların yırtılmak,sayfa yırtılmak
uyapa kaydedilmesinden,uyap kaydedilme
uydurarak iftirada,uydurarak iftira
bariyerli balkoncephe,bariyerli balkoncephe
aktarımı kronolojik,aktar kronolojik
belediyelerle çalışmaktayız,belediye çalışmak
dizel motorlarda,dizel motor
imalatında kullanılmamasının,imalat kullanılmama
tanıştırmadığı kıraathanede,tanıştırmadık kıraathane
içerden sesler,içer ses
darbesiyle yaralayarak,darbe yaralayarak
bayraklı khudoznık,bayraklı khudoznık
boğazdan geçişi,boğaz geçiş
ocağına sığınıp,ocak sığınıp
porno videonu,porno videon
iddianameden once,iddianame once
sorulmasından sonratoplanan,sorulma sonratoplana
bayramı arefe,bayra aref
gazi yaşargil,gazi yaşargil
didime gideceklerini,didi gidecek
bezdirme politikası,bezdirme politikas
götürülüp alıkoyarak,götürülüp alıkoyarak
götürülüp getirilmeleri,götürülüp getirilme
koroner arter,koroner arter
arter solunum,arter sol
arter median,arter median
rahatsızlığını gizlediğini,rahatsızlık gizledik
maliyetlerindeki artışlar,maliyet artış
karlılık düzeylerini,karlılık düzey
istasyolarının başvurudan,istasyo başvuru
değmediğini dubayı,değmedik duba
kaşenin basılmasının,kaşe basılma
sökülüp kaldırılabilecek,sökülüp kaldırılabilecek
haldeki serayı,haldek sera
işverinin teknolojisi,işver teknolojis
saatlerin aşıldığını,saatler aşıldık
özgülenip özgülenmediği,özgülenip özgülenmedik
birbirlerinin yakasından,birbir yaka
karayollarına mayın,karayol may
mezbahaet entegre,mezbahaet entegre
hattında tarlaları,hatt tarla
esra demircan,esra demirca
emrenin velayetlerinin,emre velayet
değerlendirmelerle puanlamanın,değerlendirme puanlama
alımları yönergesinin,alım yönerge
verebileceğini öngörebilmesi,verebilecek öngörebilmes
anız yakılıp,an yakılıp
anız yakmadığını,an yakmadık
galerilerinin islahı,galeri islah
zilini çalıp,zil çalıp
fiilindeki teklik,fiil teklik
sağlararası mirasçısına,sağlararas mirasçı
sancar tbb,sancar tbb
yetkisinden azlettikleri,yetki azlettik
varillerde biriktirildiğini,varil biriktirildik
baby mila,baby mila
buluntu malda,bul mal
yanılarak evlenen,yanılarak evlene
senedindeki adresininolduğu,senedi adresininolduk
kaynaklanmıştır denizin,kaynakla de
indikleri otoparkta,indik otopark
çekmecesinin gözlerinde,çekmece göz
cips kutuları,cips kutu
pamuk katkili,pamuk katkil
kağidi klozet,kağidi klozet
hafifçe eğilmiş,hafifçe eğil
gönderip göndermediğinin,gönderip göndermedik
kapat yavşak,kapat yavşak
yavşak gülme,yavşak gülme
abi hayırdır,abi hayır
amcam istiyorsa,amca istiyor
şehmus akdeniz,şehmus akde
derya sapanca,derya sapa
evvelden sabkasının,evvel sabka
harekete geçirmeye,hareke geçirme
öğrenmenin ıttılaın,öğrenme ıttılaın
kavuşturularak kuşkunun,kavuşturularak kuşku
ilavenin sanıklarının,ilave sanık
şükrüye kayınpederine,şükrü kayınpeder
pantolonunun fermuar,pantolon fermuar
husularını re,husu re
re ilicita,re ilicita
zoruyla kaçırıp,zor kaçırıp
döndüğünce anlattık,döndük anlat
anlattık sanıyorduk,anlat sanıyor
saldırdı bıçaklamaya,saldır bıçaklama
salladı yandım,salladı ya
hücum etmedi,hüç etmedi
yakarız azmettirici,yakar azmettiriç
içerdeki arkadaşlarımızı,içer arkadaş
içerdeki arkadaşımızı,içer arkadaş
seven siyasilerin,seve siya
danışılan hukukçular,danışıla hukukçu
adbul beyni,adbul beyni
enjektörün arızalandığının,enjektör arızalandık
adblue pompasının,adblue pompa
arızalanması üzerineye,arızalanmas üzerine
vakit kaybetmemesini,vakit kaybetmeme
içini boşaltmakta,iç boşaltmak
cebrail porsuktan,cebrail porsuk
şeylerle uğraştıklarının,şey uğraştık
etmeyince kovulduğunu,etmey kovulduk
sandalyeye oturtturulmak,sandalye oturtturulmak
brakeal arter,brakeal arter
üzerilerindeki şerhler,üzeri şerh
arazilerinde binalarında,arazi bina
parmaklıklar götürülmek,parmaklık götürülmek
yolların kapanacağı,yol kapanacak
sait uzuna,sait uz
müvekkillerince satılmadığını,müvekkil satılmadık
ent teksaş,ent teksaş
salonundaki soyunma,salon soyunma
çekiştirip yandaki,çekiştirip ya
leşleri karışık,leş karışık
saldırgan tavırlar,saldırga tavır
tavırlar sergilediğini,tavır sergiledik
sergileyerek teknede,sergileyerek tekne
oturtturulmak istenirken,oturtturulmak istenir
kilitlemeden lunapark,kilitleme lunapark
işlemeli namlu,işlemel namlu
üzerindeibareli kabza,üzerindeibarel kabza
tutanaklarındaki yüzölçümlerinden,tutanak yüzölçüm
çiğ köfteci,çiğ köfteç
karatekeye oğlun,karateke oğl
ayçiçeği saplarını,ayçiçek sap
onk ajans,onk ajans
sahnelenen oyunda,sahnelene oy
okulundan pencerenin,okul pencere
pencerenin zorlanarak,pencere zorlanarak
aldığım mazotlar,aldık mazot
galip balkanın,galip balka
çantalarının harcıalem,çanta harcıale
gitmemiş ayaktan,gitmemiş ayak
ayaktan örneklemeye,ayak örnekleme
parmağında spiral,parmak spiral
istisnalara girmemesi,istisna girmemes
erkan cevahirin,erka cevahir
altınının teklik,altın teklik
krokiye bağlanmışsa,kroki bağlanmış
taşıdığının sgm,taşıdık sgm
medeniyet seviyesine,medeniyet seviye
imtiyaz tanınamaz,imtiyaz tanınamaz
toplumunun temelidir,toplum temel
yüklenip yüklenmediğinin,yüklenip yüklenmedik
akut hidrosefali,akut hidrosefal
mazur görülebilecek,mazur görülebilecek
hassas terazinin,hassas teraz
kurşun küre,kurş kür
yazarın eserlerinin,yazar eser
nüshalarının dağıtımını,nüsha dağıtım
programıyla çakıştırılarak,program çakıştırılarak
ateşle vurularak,ateş vurularak
sopayla yönelmesinden,sopa yönelme
kesiye sekonder,kesi sekonder
dönüşmediği araçlarında,dönüşmedik araç
ünlü kardeşlerltdştinin,ünlü kardeşlerltdşti
yakalayıp cezalandırılmalarını,yakalayıp cezalandırılma
soruşturmakla kalmadıklarını,soruşturmak kalmadık
olmasaydı inşallah,olmas inşallah
tramvay durağında,tramvay durak
durağında kadıköyde,durak kadıköy
gişesine basılıp,gişe basılıp
hakla sınırlandıramaz,hak sınırlandıramaz
bağımsızlıklarını yitirdikleri,bağımsızlık yitirdik
metallar ticaretinde,metal ticaret
süratle sonuçlandırılabilmesi,sürat sonuçlandırılabilmes
mağdurla görüştüğüne,mağdur görüştük
kızın başkasıyla,kız başka
şikayetlerinden vazgeçmelerine,şikayet vazgeçme
basra şehrinde,basra şehr
irakın basra,irak basra
başa dönülüp,baş dönülüp
başa dönmektedir,baş dönmek
