evresine geçilmiş,evre geçil
zorunluluğunu duymuştur,zorunluluk du
engellenmediğinin belirlenmesidir,engellenmedik belirlenmes
belirlenmesidir bildirimdeki,belirlenmes bildir
ruhça arızaya,ruhça arıza
mesafesini koruyamayarak,mesafe koruyamayarak
zorluklar yaşamıştır,zorluk yaşamış
şoförlük yapanların,şoförlük yapa
inşsanticltdştinin hissedarları,inşsanticltdşti hissedar
irdeleyerek açıklayacak,irdeleyerek açıklayacak
açmaktan yasaklanma,açmak yasaklanma
anayasamızı irdeleyerek,anayasa irdeleyerek
eskiyen sonuncusu,eskiye sonuncus
yorumla genişletilemeyeceği,yor genişletilemeyecek
camilerin ibadete,cami ibade
özlerine dokunulmaksızın,öz dokunulmaksız
görevlerin amaçlarına,görev amaç
tarihsel hassasiyetleri,tarihsel hassasiyet
parlamentolarının etkinliğini,parlamento etkinlik
düzeyine yansımamıştır,düzey yansımamış
dolardır almanyada,do almanya
ibadet ayin,ibadet ay
tanımıyla dünyada,tanım dünya
korunmak çareleri,korunmak çare
tutulmadan seyrüseferlerine,tutulma seyrüsefer
icrayı sanata,icra sana
eleştirmek uyarmak,eleştirmek uyarmak
kulubeler yuvalar,kulube yuva
kafesler akvaryumlar,kafes akvaryum
hilfiger licensing,hilfiger licensingi
ambalajlatarak bayilere,ambalajlatarak bayi
türkcell avea,türkcell avea
abbas hilmi,abbas hilmi
mütemmim cüz,mütemm cüz
yüzük parmağının,yüzük parmak
parmağının eklem,parmak ekle
eklem kısımlarından,ekle kısım
kısımlarından koptuğu,kısım koptuk
içermediğini saptarsa,içermedik saptar
algılayıp algılayamadığı,algılayıp algılayamadık
oturuma getirtilmeyerek,otur getirtilmeyerek
akla mantığa,ak mantık
iddianamenin kabulünden,iddianame kabul
başlıklarda incelenmekle,başlık incelenmek
güvenliğini tehlikeye,güvenlik tehlike
tehlikeye sokma,tehlike sokma
oy birliğiyle,oy birlik
netlik prensibinin,netlik prensip
avrupa insan,avrup in
uygulanmadığının denetlenmesinin,uygulanmadık denetlenme
şerhini kaleme,şerh kale
mahallî mülkî,mahallî mülkî
biber münavebesi,biber münavebes
vazife görmekten,vazif görmek
kişiyi hürriyetinden,kişi hürriyet
bera holding,bera holdingi
uygulamasının olanaklı,uygulama olanaklı
vaktin darlığından,vakt darlık
maske takma,maske takma
alabilecek surette,alabilecek suret
hayvanlarının etleri,hayvan et
kalınması temeline,kalınmas temel
kütüğününün oluşumu,kütüğün oluş
üretilen haritaların,üretile harita
zeminle uyumsuz,zem uyumsuz
kenevir ekme,kenevir ekme
ulaşılan çözümü,ulaşıla çöz
gerçekleşmesini beklemek,gerçekleşme beklemek
öncesi aşamadan,önces aşama
pişmanlık uygulamasının,pişmanlık uygulama
haksızlığa uğrayıp,haksızlık uğrayıp
chefs cakeşekil,chefs cakeşekil
boylardaki kenevirlerden,boy kenevir
gidilip gidilmeyeceği,gidilip gidilmeyecek
gazetede yayımlanarak,gazete yayımlanarak
getirildiğinden bahsedilmesi,getirildik bahsedilmes
tutulmasında tekel,tutulma tekel
şüpheden uzak,şüphe uzak
tetkik hakimi,tetkik hak
tipine uyduğu,tip uyduk
tablo dökümlü,tablo dökümlü
görünüp görünmediği,görünüp görünmedik
bal arı,bal ar
arı sütü,ar süt
bölüşümündeki ağırlık,bölüşüm ağırlık
sıkı sıkıya,sık sıkı
izahtan varestedir,izah vares
gelişip gelişmediği,gelişip gelişmedik
düzeltir görmezse,düzel görmez
teşviki sermayenin,teşvik sermaye
ülkedeki pozitif,ülke pozitif
sıfatını alabilecek,sıfat alabilecek
suça sürüklenen,suç sürüklene
bekletici mesele,bekletiç mesel
kazanıp kazanmadığı,kazanıp kazanmadık
semt polikliniğince,semt poliklinik
selahiyetli mümessillerine,selahiyetli mümessil
silikozis tanısı,silikozis tanıs
sektöründeki özelleştirmelerin,sektör özelleştirme
yazışmalarla belirlenemeyeceği,yazışma belirlenemeyecek
usûlsüz iktibaslar,usûlsüz iktibas
tilt langırt,tilt langırt
boğazından hırlama,boğaz hırla
sorulan soruların,sorula sor
gidilen kilometreye,gidile kilometre
buğdaysaman karpuz,buğdaysama karpuz
faydalanıp faydalanamayacağı,faydalanıp faydalanamayacak
dizi pusulasına,diz pusula
ayrıma gidilmeksizin,ayr gidilmeksiz
ısı radyoaktif,ıs radyoaktif
çevreden gelenlerce,çevre gelen
nöroloji branşında,nöroloji branş
kastlarını yansıtmayan,kast yansıtmaya
karz akdiödünç,karz akdiödünç
bakanlıklara bakanlıkların,bakanlık bakanlık
grubundan faturalandırılacağına,grup faturalandırılacak
tuvalet kağidi,tuvalet kağidi
dna profilinin,dna profil
ilgilisinden istenilmeden,ilgili istenilme
özelliğin bulunmayışı,özellik bulunmayış
sürecinden geçilerek,süreç geçilerek
saldıranın olduğudur,saldıra olduk
yazanları ezberledin,yazan ezberledi
göstermeyen tavırları,göstermeye tavır
beydilliakçaşehir karayolunda,beydilliakçaşehir karayol
senetsiz kanıtlanamayacağı,senetsiz kanıtlanamayacak
suudi arabistan,suudi arabis
seçeneği imzalamışsa,seçenek imzalamış
bacağını okşayıp,bacak okşayıp
hatlarının uzunlukları,hat uzunluk
çalışmaktan alıkoyan,çalışmak alıkoya
akçin ihsan,akç ih
uhdelerinde tutmaları,uhde tutma
end tes,end tes
geçirilmelerini hedefleyen,geçirilme hedefleye
ilt hz,ilt hz
hz pz,hz pz
pz sa,pz sa
başlatılacağı belirtilmiştiraynı,başlatılacak belirtilmiştiraynı
tırnakların bakımsız,tırnak bakımsız
neticesinin gerçekleşeceğini,netice gerçekleşecek
tarlada kaybolan,tarla kaybola
kr sayıyla,kr say
kırdar onkoloji,kırdar onkoloji
sürelerinde sınırlamaya,süre sınırlama
kazanımı korunur,kazan korunur
etrafını çevreleyen,etraf çevreleye
hususundadır yurttan,husu yurt
sucuk çalarken,sucuk ça
teş bşk,teş bşk
hırdavat nalburiye,hırdavat nalburi
kaynakları potansiyelinin,kaynak potansiyel
çalışanlarla çalıştıranlar,çalışa çalıştıran
çözmekle yükümlüdürler,çözmek yükümlü
gelinmesine sinirlenmesi,gelinme sinirlenmes
tüfeklerden ilkinin,tüfek ilki
sesinin duyulması,se duyulmas
böylesi gergin,böyles gergi
vurulabileceğini öngörmesine,vurulabilecek öngörme
çene dokularının,çe doku
tank düzenek,tank düzenek
kalitesinin gelişmişlik,kalite gelişmişlik
meramını anlatma,meram anlatma
geleceğini şekillendirebilmesi,gelecek şekillendirebilmes
kapsadıkları alanlarla,kapsadık ala
profil malzemenin,profil malzeme
şahintepe kavuşak,şahintep kavuşak
turan hazinedaroğlu,tura hazinedaroğlu
ürüne katılmalı,ür katılmal
fiyatta anlaşmak,fiyat anlaşmak
kurulacağından hmkdaki,kurulacak hmkdaki
ekosistemlerdir mevzuatımızda,ekosistem mevzuat
tutulmaktadır ağırlatıcıhafifletici,tutulmak ağırlatıcıhafifletiç
schoco bisco,schoco bisco
hanının depreme,han depre
düşürüleceği uyarısına,düşürülecek uyarı
fred perry,fred perry
gırgır vinç,gırgır vinç
kütüğe geçirilir,kütük geçirilir
düzensizliklerinin teşhisi,düzensizlik teşhis
değerlerini aklama,değer akla
bali içerken,bali içer
içerken rastladıkları,içer rastladık
demirciler caddesinde,demirci cadde
derin dondurucuyu,der dondurucu
zorunluluğa uyulmamasının,zorunluluk uyulmama
düşünmeye çağıracak,düşünme çağıracak
yayılmasının önlemesini,yayılma önleme
ayrılığı istismarın,ayrılık istismar
yurttan kaçıp,yurt kaçıp
tasfiyeden bahsetmekte,tasfiye bahsetmek
asetik asit,asetik asit
company lp,company lp
duyabileceği görebileceği,duyabilecek görebilecek
hapsen tazyik,hap tazyik
hidroelektrik santrali,hidroelektrik santrali
iftar yemeğinden,iftar yemek
doğrulanmadığı anlaşılmayan,doğrulanmadık anlaşılmaya
imtiyazları ruhsatları,imtiyaz ruhsat
safhasında gideren,safha gidere
işlemde bulunmadım,işle bulunmadı
kumar oynanması,kumar oynanmas
kılınması satacağı,kılınmas satacak
tahsin artuç,tahs artuç
toraksa nafiz,torak nafiz
kalçalarına sürtme,kalça sürtme
vurma halkası,vurma halkas
parts since,parts si
aydınlatmak keyfiliği,aydınlatmak keyfilik
zorunluluklara uymayanlara,zorunluluk uymayan
başsavcılığına tevdiine,başsavcılık tevdiin
any mah,any mah
faaliyete geçmesinden,faaliye geçme
oluşmadığının saptanması,oluşmadık saptanmas
sokağa çıkma,sokak çıkma
özeni göstermesine,öze gösterme
avansın harcanmayan,ava harcanmaya
bilgilerle uyumlu,bilgi uyumlu
irad kaydedilmesine,iradı kaydedilme
demesine kızarak,deme kızarak
bakıp gözetme,bakıp gözetme
tabiri caiz,tabir caiz
fişeği kartuşunun,fişek kartuş
eğimi klizimetre,ek klizimetre
caddede seyrederken,cadde seyreder
müteallik ahkamı,müteallik ahka
böbrek taşı,böbrek taş
çıkaran mercie,çıkara mercie
nişastalar toz,nişasta toz
veli özer,vel özer
adaletin selameti,adalet selamet
düzenlenmesinde yalan,düzenlenme yala
öte yandan,ö ya
mükerrirlere özgü,mükerrir özgü
tanıyıp tanımadıklarının,tanıyıp tanımadık
dosyalarda seri,dosya ser
hesapta nemalandırılmak,hesap nemalandırılmak
norm denetimi,norm denet
gerekip gerekmediğinin,gerekip gerekmedik
eposta iletişimi,epos iletiş
yayma eleştirme,yayma eleştirme
katma bütçeli,katma bütçel
algılanabilme olasılığının,algılanabilme olasılık
eli ürünü,el ür
olası kastla,olas kastla
silahlı terör,silahlı terör
mensuplarının kullanmaları,mensup kullanma
verilecek cezalar,verilecek ceza
ödenmeden mülkten,ödenme mülk
kanıtlama yeterliliği,kanıtla yeterlilik
güvenin sarsılmasını,güve sarsılma
adil yargılanma,adil yargılanma
geçildi vicdani,geçil vicda
umumi hıfzıssıhha,umumi hıfzıssıhha
hafta tatili,haf tatil
gönderir düzenlemesini,gönderir düzenleme
giysileri ayakkabılar,giysi ayakkabı
ayakkabılar terlikler,ayakkabı terlik
panera breadşekil,paner breadşekil
tabanına kaydedileceği,taban kaydedilecek
elit serisi,elit seris
yapılırsa yapılsın,yapılır yapıl
hint keneviri,hint kenevir
vekaleti salahiyettardır,vekalet salahiyettar
poğaça pide,poğaç pi
pide sandviç,pi sandviç
sandviç katmer,sandviç katmer
çerezler patlamış,çerez patlamış
buğday arpa,buğday arpa
sürecin yönetilebileceği,süreç yönetilebilecek
oku çık,ok çık
alınmaya çalışılmıştır,alınma çalışıl
sinkaflı küfürler,sinkaflı küfür
sanatlarla ilgileri,sanat ilgi
beklemediği umulmadık,beklemedik umulmadık
kurumlarına atanmalarının,kurum atanma
kadrolarında özelleştirmenin,kadro özelleştirme
mecburdurlar kudurmuş,mecbur kudur
üstünün yırtık,üstü yır
sanal puan,sanal puan
pandemisinin sokulmasına,pandemi sokulma
online eğitime,onl eğit
vakalarının görülmesinden,vaka görülme
kuduzdan ölenlerin,kuduz öle
trol ağlarını,trol ak
vodafone türkcell,vodafone türkcell
krokisininharitasının bulunamaması,krokisininharita bulunamamas
doğuştan sağır,doğuş sağır
sağır dilsizim,sağır dilsiz
verilirse verilsin,verilir veril
gerçekleştirilmesini önerdiğim,gerçekleştirilme önerdik
uymayanlara fiilleri,uymayan fiil
rum kesimi,rum kes
lüksemburg portekiz,lüksemburgu portek
reşit olmayanla,reşit olmaya
arasından seçilecek,ara seçilecek
ihaleye fesat,ihale fesat
üstünlük tanındığının,üstünlük tanındık
hâli öğrenir,hâli öğrenir
yönlendirme yeteneğinin,yönlendirme yetenek
böyle olunca,bö ol
mukayeseli hukuktan,mukayesel hukuk
cereyan tarzı,cereya tarzı
zeminin jeolojik,zem jeolojik
fuarların organizasyonu,fuar organizasyo
çeşnilezzet vericiler,çeşnilezzet verici
raporlu mazeretli,raporlu mazeretli
nejdet şahin,nejdet şah
yuvalar yataklar,yuva yatak
saman balyası,sama balyas
batış çizelgesine,batış çizelge
çelişmeyen verilere,çelişmeye veri
istemine ilişkindir,istem ilişk
nuh bebe,nuh bep
elk elekt,elk elekt
başlamaktadır adından,başlamak ad
prosedürü işletilmemiştir,prosedür işletilmemiş
kısıtlamaların düzeyine,kısıtlama düzey
getirdikleri sınırlamaların,getirdik sınırlama
söylendiği bağlam,söylendik bağla
insan hakları,in hak
değerlendirilmesinde zorunluluk,değerlendirilme zorunluluk
davranmamakta ısrar,davranmamak ısrar
hiçbirisine uymayan,hiçbiri uymaya
rapor dinlendikten,rapor dinlendik
cezaevine girmeden,cezaev girme
fesada uğratılan,fesa uğratıla
türkiye cumhuriyeti,türki cumhuriyet
ltd şti,ltd şti
süreçlerinin akıbeti,süreç akıbet
düzenlemesini içermektedir,düzenleme içermek
gereğine değinilmiştir,gerek değinil
çektirilip onaylanarak,çektirilip onaylanarak
kanının oluştuğu,kan oluştuk
bittiği bildirildi,bittik bildiril
sürüklenen çocuk,sürüklene çocuk
dokunulmazlığının ihlali,dokunulmazlık ihlal
olanına bakmakla,olan bakmak
bırakılıp bırakılmayacağı,bırakılıp bırakılmayacak
kabartma tozları,kabartma toz
delillerin takdirinde,delil takdir
açıklanmasının geri,açıklanma ger
edene yükletilmesine,ede yükletilme
yanlışlık görülmemesine,yanlışlık görülmeme
sonuçlarını algılama,sonuç algıla
kadastrosunu denetlemesi,kadastro denetlemes
altındadır vekâletin,alt vekâlet
hasarsızlık indiriminden,hasarsızlık indirim
kalçasına kıyafet,kalça kıyafet
devredilip devredilmediği,devredilip devredilmedik
kazaya karışan,kaza karışa
iletisinin tercüme,ileti terç
çalıştırdıkları dönemle,çalıştırdık döne
davalarla sınırlıdır,dava sınırlı
değiştirilmeksizin tartışıldığı,değiştirilmeksiz tartışıldık
gerektiğinin gözetilmemesi,gerektik gözetilmemes
eğitimini başarıyla,eğitim başar
noksanlıklar giderilip,noksanlık giderilip
saygınlığını rencide,saygınlık renci
ilave tediye,ilav tedi
görülüp sonuçlandırılması,görülüp sonuçlandırılmas
tartışılan hukuken,tartışıla hukuke
hale geldiği,hale geldik
bitki örtüsü,bitki örtüs
giderilmeye çalışılmalı,giderilme çalışılmal
gözaltına alınma,gözalt alınma
uygulanmaya başlanan,uygulanma başlana
koşullu salıverme,koşullu salıverme
alkol piyasası,alkol piyasas
haftaya yedişer,hafta yedişer
sakinleri civar,sakin civar
künt cisimle,künt cis
yapılanlara devredilir,yapılan devredilir
alanlarını deneyimlerini,alan deneyim
harflerinin görünüşünün,harfler görünüş
ayırtediciliği sağlamadığı,ayırtedicilik sağlamadık
gerçekle bağdaşmadığını,gerçek bağdaşmadık
motorini iraktan,motor irak
sıkıntılar likidite,sıkın likidi
taşra teşkilatlarına,taşra teşkilat
taşra teşkilatına,taşra teşkilat
taşıtanın masraftan,taşıta masraf
limanı kimyagerinin,lima kimyager
gözetilecek olgulardandır,gözetilecek olgu
silis tozlarına,silis toz
paydaşlarına yönelterek,paydaş yönelterek
kullanılacağı inancının,kullanılacak inancı
nisapla toplanmayan,nisap toplanmaya
nrs konsültasyonunda,nrs konsültasyon
akciğer grafisinde,akciğer grafi
kaçıracağım çıkmazsan,kaçıracak çıkmaz
yaptıracağına inandırarak,yaptıracak inandırarak
tabur komutanlığının,tabur komutanlık
komando tabur,komando tabur
kalemini kafesin,kalem kafe
akımına kapıldığı,akım kapıldık
akımına kapılarak,akım kapılarak
solundan sağına,sol sak
getirmeyip alıkoyması,getirmeyip alıkoymas
pizzacıda kurye,pizzacı kurye
mesut aytekinin,mesut aytek
defterler incelenmediğinden,defter incelenmedik
tramvaya bindikleri,tramva bindik
bozdurmak istiyor,bozdurmak istiyor
taksiye binmek,taksi binmek
binmek üzerelerken,binmek üzere
askıda bırakacak,askı bırakacak
sarfı nazar,sarfı nazar
finansbanktan verilennolu,finansbank verilennol
kuruluşlarca başkanlığın,kuruluş başkanlık
bankalarının birisinde,banka biri
desteğini kaybettiklerini,destek kaybettik
çoğaltıp yayımını,çoğaltıp yayım
yereni getirilmediğini,yere getirilmedik
kanısını uyandırdıklarını,kanı uyandırdık
kanısını taşıdığımızdan,kanı taşıdık
lcw mağazasından,lcw mağaza
hostes koltuğunun,hostes koltuk
basamak bölmesinde,basamak bölme
montajı aksatmayacak,montaj aksatmayacak
görmezden gelinerek,görmez gelinerek
gelinerek onayın,gelinerek onay
numunesini reddettiğini,numune reddettik
haram ibne,hara ibne
okuyup üflediği,okuyup üfledik
üflediği muska,üfledik muska
davetiyelerin muhatabına,davetiye muhatap
kooperatiflerin kooperatiflere,kooperatif kooperatif
vazgeçiyorumkararın kesinleştirilerek,vazgeçiyorumkarar kesinleştirilerek
sayfaların yırtılmak,sayfa yırtılmak
uyapa kaydedilmesinden,uyap kaydedilme
bariyerli balkoncephe,bariyerli balkoncephe
aktarımı kronolojik,aktar kronolojik
yöneticinin harcadığı,yönetiç harcadık
direkt grafinin,direkt grafi
grafinin kbb,grafi kbb
belediyelerle çalışmaktayız,belediye çalışmak
dizel motorlarda,dizel motor
imalatında kullanılmamasının,imalat kullanılmama
tanıştırmadığı kıraathanede,tanıştırmadık kıraathane
içerden sesler,içer ses
ışığı yakmasından,ışık yakma
darbesiyle yaralayarak,darbe yaralayarak
bayraklı khudoznık,bayraklı khudoznık
gemisinin rusyadan,gemi rusya
gemisinin boğazdan,gemi boğaz
yalının iskele,yal iskel
boğazdan geçişi,boğaz geçiş
ocağına sığınıp,ocak sığınıp
nöbete kaldığında,nöbe kaldık
zeliha karanın,zeliha kara
iddianameden once,iddianame once
öğrencilerinin taşınmasında,öğrenci taşınma
kocadayfnın müdürlükten,kocadayfn müdürlük
bayramı arefe,bayra aref
gazi yaşargil,gazi yaşargil
kavgayı başlatan,kavga başla
didime gideceklerini,didi gidecek
faizlerinin istirdadının,faiz istirdadı
tamamlamadan ilişiğinin,tamamlama ilişik
götürülüp alıkoyarak,götürülüp alıkoyarak
götürülüp getirilmeleri,götürülüp getirilme
kimliğin gizlenerek,kimlik gizlenerek
koroner arter,koroner arter
arter solunum,arter sol
arter median,arter median
rahatsızlığını gizlediğini,rahatsızlık gizledik
kütüğüne aktarılmalarına,kütük aktarılma
maliyetlerindeki artışlar,maliyet artış
karlılık düzeylerini,karlılık düzey
kaşenin basılmasının,kaşe basılma
sökülüp kaldırılabilecek,sökülüp kaldırılabilecek
mevkide sel,mevki sel
haldeki serayı,haldek sera
saatlerin aşıldığını,saatler aşıldık
idrak çağına,idrak çak
idrak çağında,idrak çak
özgülenip özgülenmediği,özgülenip özgülenmedik
birbirlerinin yakasından,birbir yaka
teşekkür ederiz,teşekkür eder
yalıtım imalâtlarına,yalıt imalât
karayollarına mayın,karayol may
mezbahaet entegre,mezbahaet entegre
yazılıp bestelendiği,yazılıp bestelendik
yazılıp paraflanmak,yazılıp paraflanmak
alımları yönergesinin,alım yönerge
ayrıntı veremeyip,ayr veremeyip
verebileceğini öngörebilmesi,verebilecek öngörebilmes
anız yakılıp,an yakılıp
anız yakmadığını,an yakmadık
anlatımlarda bulunmasımağdur,anlatım bulunmasımak
branşlara yönlendirildikleri,branş yönlendirildik
galerilerinin islahı,galeri islah
aracındaki yolcunun,araç yolcu
zilini çalarak,zil çalarak
fiilindeki teklik,fiil teklik
sağlararası mirasçısına,sağlararas mirasçı
durmayıp hızla,durmayıp hız
sancar tbb,sancar tbb
düzenlenmektedir görevlilerce,düzenlenmek görevli
anlamlar yüklenebilecek,anlam yüklenebilecek
cafe içerisindeyken,cafe içeri
varillerde biriktirildiğini,varil biriktirildik
baby mila,baby mila
gelimi buluntu,gel bul
buluntu malda,bul mal
senedindeki adresininolduğu,senedi adresininolduk
kaynaklanmıştır denizin,kaynakla de
altınları bozdurarak,altın bozdurarak
tablet hapın,tablet hap
cips kutuları,cips kutu
pamuk katkili,pamuk katkil
kağidi klozet,kağidi klozet
girebileceği metruk,girebilecek metruk
gönderip göndermediğinin,gönderip göndermedik
kapat yavşak,kapat yavşak
yavşak gülme,yavşak gülme
abi hayırdır,abi hayır
amcam istiyorsa,amca istiyor
şehmus akdeniz,şehmus akde
derya sapanca,derya sapa
çağırıp hayvanlarına,çağırıp hayvan
evvelden sabkasının,evvel sabka
harekete geçirmeye,hareke geçirme
yaratılmış meşhur,yaratıl meşhur
öğrenmenin ıttılaın,öğrenme ıttılaın
kavuşturularak kuşkunun,kavuşturularak kuşku
ilavenin sanıklarının,ilave sanık
şükrüye kayınpederine,şükrü kayınpeder
pantolonunun fermuar,pantolon fermuar
husularını re,husu re
re ilicita,re ilicita
zoruyla kaçırıp,zor kaçırıp
döndüğünce anlattık,döndük anlat
anlattık sanıyorduk,anlat sanıyor
saldırdı bıçaklamaya,saldır bıçaklama
salladı yandım,salladı ya
hücum etmedi,hüç etmedi
yakarız azmettirici,yakar azmettiriç
içerdeki arkadaşlarımızı,içer arkadaş
içerdeki arkadaşımızı,içer arkadaş
döverim sözleriyle,döver söz
seven siyasilerin,seve siya
danışılan hukukçular,danışıla hukukçu
sorulduğunda gezmek,sorulduk gezmek
servise götürdüklerinde,servis götürdük
adbul beyni,adbul beyni
enjektörün arızalandığının,enjektör arızalandık
adblue pompasının,adblue pompa
arızalanması üzerineye,arızalanmas üzerine
vakit kaybetmemesini,vakit kaybetmeme
yazıhanesinden çuval,yazıhane çuval
içini boşaltmakta,iç boşaltmak
cebrail porsuktan,cebrail porsuk
şeylerle uğraştıklarının,şey uğraştık
etmeyince kovulduğunu,etmey kovulduk
tekerlekli sandalyeye,tekerlekli sandalye
sandalyeye oturtturulmak,sandalye oturtturulmak
brakeal arter,brakeal arter
median sinir,median sinir
sinir yarlanması,sinir yarlanmas
parmaklıklar götürülmek,parmaklık götürülmek
müsteşarlığı darphane,müsteşarlık darphane
yolların kapanacağı,yol kapanacak
vardiyalı sistemle,vardiyal siste
sait uzuna,sait uz
bölünüp bölünemeyeceği,bölünüp bölünemeyecek
ent teksaş,ent teksaş
hatayı düzelten,hata düzel
çekiştirip yandaki,çekiştirip ya
leşleri karışık,leş karışık
saldırgan tavırlar,saldırga tavır
tavırlar sergileyerek,tavır sergileyerek
tavırlar sergilediğini,tavır sergiledik
oturtturulmak istenirken,oturtturulmak istenir
kilitlemeden lunapark,kilitleme lunapark
üzerindeibareli kabza,üzerindeibarel kabza
tutanaklarındaki yüzölçümlerinden,tutanak yüzölçüm
çiğ köfteci,çiğ köfteç
müştekii öldürmekle,müştekii öldürmek
karatekeye oğlun,karateke oğl
sokmam yaşatmam,sokma yaşatma
fatma tatas,fatma tatas
ayçiçeği saplarını,ayçiçek sap
türkçeye çeviren,türkçe çevire
onk ajans,onk ajans
sahnelenen oyunda,sahnelene oy
okulundan pencerenin,okul pencere
pencerenin zorlanarak,pencere zorlanarak
aileye zümreye,aile zümre
aldığım mazotlar,aldık mazot
galip balkanın,galip balka
markalarla ilişkilendirilebileceği,marka ilişkilendirilebilecek
